split_a,pair_type,mean_hTw,frac_positive,n_pairs
5,within_long_d24,6.9201,1.0,22
5,within_long_d25,6.8357,1.0,20
5,within_long_d26,6.7669,1.0,18
5,within_long_d27,6.6704,1.0,16
5,within_long_d28,6.5602,1.0,14
5,within_long_d29,6.3761,1.0,12
5,within_long_d30,6.3866,1.0,10
5,within_long_d31,6.6389,1.0,8
5,within_long_d32,6.9204,1.0,6
5,within_long_d33,7.3003,1.0,4
5,within_long_d34,7.3195,1.0,2
6,within_long,21.9153,1.0,224400
6,within_short,33.3853,1.0,6000
6,cut,-5.1881,0.0001,40800
6,cut,-16.3014,0.0,40800
6,within_long_d1,43.0657,1.0,66
6,within_long_d2,39.662,1.0,64
6,within_long_d3,42.4447,1.0,62
6,within_long_d4,44.4065,1.0,60
6,within_long_d5,44.5731,1.0,58
6,within_long_d6,40.816,1.0,56
6,within_long_d7,40.6045,1.0,54
6,within_long_d8,47.8955,1.0,52
6,within_long_d9,23.8153,1.0,50
6,within_long_d10,5.3648,1.0,48
6,within_long_d11,5.3392,1.0,46
6,within_long_d12,5.3374,1.0,44
6,within_long_d13,5.3243,1.0,42
6,within_long_d14,5.3057,1.0,40
6,within_long_d15,5.2842,1.0,38
6,within_long_d16,5.2707,1.0,36
6,within_long_d17,5.2553,1.0,34
6,within_long_d18,5.2499,1.0,32
6,within_long_d19,5.2615,1.0,30
6,within_long_d20,5.2939,1.0,28
6,within_long_d21,5.3263,1.0,26
6,within_long_d22,5.391,1.0,24
6,within_long_d23,5.4729,1.0,22
6,within_long_d24,5.466,1.0,20
6,within_long_d25,5.3818,1.0,18
6,within_long_d26,5.208,1.0,16
6,within_long_d27,5.0158,1.0,14
6,within_long_d28,4.7453,1.0,12
6,within_long_d29,4.6822,1.0,10
6,within_long_d30,4.8123,1.0,8
6,within_long_d31,4.8878,1.0,6
6,within_long_d32,5.1312,1.0,4
6,within_long_d33,5.0826,1.0,2
7,within_long,19.9245,1.0,211200
7,within_short,29.3016,1.0,8400
7,cut,-3.897,0.007,46200
7,cut,-16.6807,0.0,46200
7,within_long_d1,39.4198,1.0,64
7,within_long_d2,36.2855,1.0,62
7,within_long_d3,38.794,1.0,60
7,within_long_d4,40.5437,1.0,58
7,within_long_d5,40.5945,1.0,56
7,within_long_d6,37.0868,1.0,54
7,within_long_d7,37.1718,1.0,52
7,within_long_d8,43.6802,1.0,50
7,within_long_d9,21.3261,1.0,48
7,within_long_d10,4.0398,1.0,46
7,within_long_d11,4.0317,1.0,44
7,within_long_d12,4.0271,1.0,42
7,within_long_d13,4.0213,1.0,40
7,within_long_d14,4.0085,1.0,38
7,within_long_d15,3.9927,1.0,36
7,within_long_d16,3.9751,1.0,34
7,within_long_d17,3.9604,0.9995,32
7,within_long_d18,3.9551,0.9998,30
7,within_long_d19,3.9666,0.9998,28
7,within_long_d20,3.9893,0.9998,26
7,within_long_d21,4.0261,0.9994,24
7,within_long_d22,4.0704,1.0,22
7,within_long_d23,4.0745,1.0,20
7,within_long_d24,4.0106,1.0,18
7,within_long_d25,3.8327,1.0,16
7,within_long_d26,3.6127,1.0,14
7,within_long_d27,3.3143,1.0,12
7,within_long_d28,3.1541,1.0,10
7,within_long_d29,3.2081,1.0,8
7,within_long_d30,3.2299,1.0,6
7,within_long_d31,3.3062,1.0,4
7,within_long_d32,3.0056,1.0,2
8,within_long,14.857,0.9847,198400
8,within_short,28.4931,1.0,11200
8,cut,-2.2949,0.1376,51200
8,cut,-16.6724,0.0,51200
8,within_long_d1,30.2638,1.0,62
8,within_long_d2,27.6894,1.0,60
8,within_long_d3,29.626,1.0,58
8,within_long_d4,30.9115,1.0,56
8,within_long_d5,30.8697,1.0,54
8,within_long_d6,28.1136,1.0,52
