split_a,pair_type,mean_cos,frac_positive,n_pairs
5,within_long_d13,0.8688,1.0,56
5,within_long_d14,0.8668,1.0,54
5,within_long_d15,0.8714,1.0,52
5,within_long_d16,0.8909,1.0,50
5,within_long_d17,0.9124,1.0,48
5,within_long_d18,0.8826,1.0,46
5,within_long_d19,0.8224,1.0,44
5,within_long_d20,0.8245,1.0,42
5,within_long_d21,0.8268,1.0,40
5,within_long_d22,0.8295,1.0,38
5,within_long_d23,0.8323,1.0,36
5,within_long_d24,0.8357,1.0,34
5,within_long_d25,0.8397,1.0,32
5,within_long_d26,0.8444,1.0,30
5,within_long_d27,0.8474,1.0,28
5,within_long_d28,0.8485,1.0,26
5,within_long_d29,0.8487,1.0,24
5,within_long_d30,0.8487,1.0,22
5,within_long_d31,0.8485,1.0,20
5,within_long_d32,0.8484,1.0,18
5,within_long_d33,0.8489,1.0,16
5,within_long_d34,0.8481,1.0,14
5,within_long_d35,0.8477,1.0,12
5,within_long_d36,0.8477,1.0,10
5,within_long_d37,0.8412,1.0,8
5,within_long_d38,0.8292,1.0,6
5,within_long_d39,0.8255,1.0,4
5,within_long_d40,0.8243,1.0,2
6,within_long,0.9359,1.0,312000
6,within_short,0.8344,1.0,6000
6,cut,-0.5968,0.0,48000
6,cut,-0.5968,0.0,48000
6,within_long_d1,0.9734,1.0,78
6,within_long_d2,0.9506,1.0,76
6,within_long_d3,0.9453,1.0,74
6,within_long_d4,0.9434,1.0,72
6,within_long_d5,0.942,1.0,70
6,within_long_d6,0.9406,1.0,68
6,within_long_d7,0.9391,1.0,66
6,within_long_d8,0.9377,1.0,64
6,within_long_d9,0.9369,1.0,62
6,within_long_d10,0.9362,1.0,60
6,within_long_d11,0.9358,1.0,58
6,within_long_d12,0.935,1.0,56
6,within_long_d13,0.9342,1.0,54
6,within_long_d14,0.9333,1.0,52
6,within_long_d15,0.9362,1.0,50
6,within_long_d16,0.9468,1.0,48
6,within_long_d17,0.958,1.0,46
6,within_long_d18,0.9422,1.0,44
6,within_long_d19,0.9118,1.0,42
6,within_long_d20,0.913,1.0,40
6,within_long_d21,0.9143,1.0,38
6,within_long_d22,0.9158,1.0,36
6,within_long_d23,0.9175,1.0,34
6,within_long_d24,0.9195,1.0,32
6,within_long_d25,0.9217,1.0,30
6,within_long_d26,0.9231,1.0,28
6,within_long_d27,0.9235,1.0,26
6,within_long_d28,0.9235,1.0,24
6,within_long_d29,0.9232,1.0,22
6,within_long_d30,0.9228,1.0,20
6,within_long_d31,0.9223,1.0,18
6,within_long_d32,0.9221,1.0,16
6,within_long_d33,0.9218,1.0,14
6,within_long_d34,0.9217,1.0,12
6,within_long_d35,0.9222,1.0,10
6,within_long_d36,0.9201,1.0,8
6,within_long_d37,0.9151,1.0,6
6,within_long_d38,0.9132,1.0,4
6,within_long_d39,0.9118,1.0,2
7,within_long,0.9266,1.0,296400
7,within_short,0.7823,1.0,8400
7,cut,-0.6032,0.0,54600
7,cut,-0.6032,0.0,54600
7,within_long_d1,0.9692,1.0,76
7,within_long_d2,0.943,1.0,74
7,within_long_d3,0.9369,1.0,72
7,within_long_d4,0.9347,1.0,70
7,within_long_d5,0.9331,1.0,68
7,within_long_d6,0.9316,1.0,66
7,within_long_d7,0.9298,1.0,64
7,within_long_d8,0.9282,1.0,62
7,within_long_d9,0.9273,1.0,60
7,within_long_d10,0.9265,1.0,58
7,within_long_d11,0.9262,1.0,56
7,within_long_d12,0.9255,1.0,54
7,within_long_d13,0.9246,1.0,52
7,within_long_d14,0.9237,1.0,50
7,within_long_d15,0.927,1.0,48
7,within_long_d16,0.9397,1.0,46
7,within_long_d17,0.953,1.0,44
7,within_long_d18,0.9346,1.0,42
7,within_long_d19,0.8988,1.0,40
7,within_long_d20,0.9004,1.0,38
7,within_long_d21,0.9021,1.0,36
7,within_long_d22,0.904,1.0,34
7,within_long_d23,0.9061,1.0,32
7,within_long_d24,0.9087,1.0,30
7,within_long_d25,0.9103,1.0,28
7,within_long_d26,0.9108,1.0,26
7,within_long_d27,0.9108,1.0,24
7,within_long_d28,0.9105,1.0,22
7,within_long_d29,0.91,1.0,20
7,within_long_d30,0.9094,1.0,18
7,within_long_d31,0.9091,1.0,16
7,within_long_d32,0.9087,1.0,14
7,within_long_d33,0.9087,1.0,12
7,within_long_d34,0.9092,1.0,10
7,within_long_d35,0.9062,1.0,8
7,within_long_d36,0.9002,1.0,6
7,within_long_d37,0.8983,1.0,4
7,within_long_d38,0.8969,1.0,2
8,within_long,0.9506,1.0,281200
8,within_short,0.7846,1.0,11200
8,cut,-0.6161,0.0,60800
8,cut,-0.6161,0.0,60800
8,within_long_d1,0.979,1.0,74
8,within_long_d2,0.961,1.0,72
8,within_long_d3,0.9568,1.0,70
8,within_long_d4,0.9553,1.0,68
8,within_long_d5,0.9542,1.0,66
8,within_long_d6,0.9531,1.0,64
8,within_long_d7,0.9518,1.0,62
8,within_long_d8,0.9507,1.0,60
8,within_long_d9,0.9502,1.0,58
8,within_long_d10,0.9497,1.0,56
8,within_long_d11,0.9496,1.0,54
8,within_long_d12,0.9491,1.0,52
8,within_long_d13,0.9486,1.0,50
8,within_long_d14,0.948,1.0,48
8,within_long_d15,0.9504,1.0,46
8,within_long_d16,0.9594,1.0,44
8,within_long_d17,0.9689,1.0,42
8,within_long_d18,0.9564,1.0,40
8,within_long_d19,0.9317,1.0,38
8,within_long_d20,0.9331,1.0,36
8,within_long_d21,0.9346,1.0,34
8,within_long_d22,0.9363,1.0,32
8,within_long_d23,0.9383,1.0,30
8,within_long_d24,0.9395,1.0,28
8,within_long_d25,0.94,1.0,26
8,within_long_d26,0.9403,1.0,24
8,within_long_d27,0.9403,1.0,22
8,within_long_d28,0.9402,1.0,20
8,within_long_d29,0.94,1.0,18
8,within_long_d30,0.94,1.0,16
8,within_long_d31,0.94,1.0,14
8,within_long_d32,0.94,1.0,12
8,within_long_d33,0.9401,1.0,10
8,within_long_d34,0.9386,1.0,8
8,within_long_d35,0.9356,1.0,6
8,within_long_d36,0.9342,1.0,4
