split_a,pair_type,mean_cos,frac_positive,n_pairs
14,within_long_d16,0.7493,1.0,32
14,within_long_d17,0.7392,1.0,30
14,within_long_d18,0.7291,1.0,28
14,within_long_d19,0.7176,1.0,26
14,within_long_d20,0.7055,1.0,24
14,within_long_d21,0.6943,1.0,22
14,within_long_d22,0.6856,1.0,20
14,within_long_d23,0.6797,1.0,18
14,within_long_d24,0.6734,1.0,16
14,within_long_d25,0.6604,1.0,14
14,within_long_d26,0.6378,1.0,12
14,within_long_d27,0.6127,1.0,10
14,within_long_d28,0.5785,1.0,8
14,within_long_d29,0.544,1.0,6
14,within_long_d30,0.4894,1.0,4
14,within_long_d31,0.4302,1.0,2
15,within_long,0.7938,1.0,186000
15,within_short,0.7654,1.0,42000
15,cut,0.6432,1.0,93000
15,cut,0.6432,1.0,93000
15,within_long_d1,0.973,1.0,60
15,within_long_d2,0.9369,1.0,58
15,within_long_d3,0.9063,1.0,56
15,within_long_d4,0.8776,1.0,54
15,within_long_d5,0.8495,1.0,52
15,within_long_d6,0.8226,1.0,50
15,within_long_d7,0.8001,1.0,48
15,within_long_d8,0.7852,1.0,46
15,within_long_d9,0.7742,1.0,44
15,within_long_d10,0.7662,1.0,42
15,within_long_d11,0.7616,1.0,40
15,within_long_d12,0.7606,1.0,38
15,within_long_d13,0.7611,1.0,36
15,within_long_d14,0.7606,1.0,34
15,within_long_d15,0.7537,1.0,32
15,within_long_d16,0.742,1.0,30
15,within_long_d17,0.7309,1.0,28
15,within_long_d18,0.7199,1.0,26
15,within_long_d19,0.7078,1.0,24
15,within_long_d20,0.6964,1.0,22
15,within_long_d21,0.6874,1.0,20
15,within_long_d22,0.6814,1.0,18
15,within_long_d23,0.6754,1.0,16
15,within_long_d24,0.6626,1.0,14
15,within_long_d25,0.6404,1.0,12
15,within_long_d26,0.6158,1.0,10
15,within_long_d27,0.5828,1.0,8
15,within_long_d28,0.5507,1.0,6
15,within_long_d29,0.497,1.0,4
15,within_long_d30,0.4398,1.0,2
16,within_long,0.7912,1.0,174000
16,within_short,0.763,1.0,48000
16,cut,0.6776,1.0,96000
16,cut,0.6776,1.0,96000
16,within_long_d1,0.9723,1.0,58
16,within_long_d2,0.9351,1.0,56
16,within_long_d3,0.9039,1.0,54
16,within_long_d4,0.8745,1.0,52
16,within_long_d5,0.8458,1.0,50
16,within_long_d6,0.8183,1.0,48
16,within_long_d7,0.7955,1.0,46
16,within_long_d8,0.7805,1.0,44
16,within_long_d9,0.7692,1.0,42
16,within_long_d10,0.7609,1.0,40
16,within_long_d11,0.756,1.0,38
16,within_long_d12,0.7546,1.0,36
16,within_long_d13,0.7545,1.0,34
16,within_long_d14,0.753,1.0,32
16,within_long_d15,0.7448,1.0,30
16,within_long_d16,0.7315,1.0,28
16,within_long_d17,0.7188,1.0,26
16,within_long_d18,0.7068,1.0,24
16,within_long_d19,0.6953,1.0,22
16,within_long_d20,0.6863,1.0,20
16,within_long_d21,0.6805,1.0,18
16,within_long_d22,0.6747,1.0,16
16,within_long_d23,0.662,1.0,14
16,within_long_d24,0.6395,1.0,12
16,within_long_d25,0.6143,1.0,10
16,within_long_d26,0.5803,1.0,8
16,within_long_d27,0.5461,1.0,6
16,within_long_d28,0.4911,1.0,4
16,within_long_d29,0.4336,1.0,2
17,within_long,0.7887,1.0,162400
17,within_short,0.7584,1.0,54400
17,cut,0.6942,1.0,98600
17,cut,0.6942,1.0,98600
17,within_long_d1,0.9714,1.0,56
17,within_long_d2,0.9334,1.0,54
17,within_long_d3,0.9014,1.0,52
17,within_long_d4,0.8713,1.0,50
17,within_long_d5,0.8416,1.0,48
17,within_long_d6,0.8135,1.0,46
17,within_long_d7,0.7902,1.0,44
17,within_long_d8,0.7747,1.0,42
17,within_long_d9,0.763,1.0,40
17,within_long_d10,0.7544,1.0,38
17,within_long_d11,0.7491,1.0,36
17,within_long_d12,0.7471,1.0,34
17,within_long_d13,0.7463,1.0,32
17,within_long_d14,0.744,1.0,30
17,within_long_d15,0.735,1.0,28
17,within_long_d16,0.7204,1.0,26
17,within_long_d17,0.7073,1.0,24
17,within_long_d18,0.6963,1.0,22
17,within_long_d19,0.6874,1.0,20
17,within_long_d20,0.6816,1.0,18
17,within_long_d21,0.6754,1.0,16
17,within_long_d22,0.6624,1.0,14
17,within_long_d23,0.6396,1.0,12
17,within_long_d24,0.6141,1.0,10
17,within_long_d25,0.5797,1.0,8
17,within_long_d26,0.5465,1.0,6
17,within_long_d27,0.4918,1.0,4
17,within_long_d28,0.4344,1.0,2
18,within_long,0.786,1.0,151200
18,within_short,0.754,1.0,61200
18,cut,0.6995,1.0,100800
18,cut,0.6995,1.0,100800
18,within_long_d1,0.9708,1.0,54
18,within_long_d2,0.9319,1.0,52
18,within_long_d3,0.8994,1.0,50
18,within_long_d4,0.8689,1.0,48
18,within_long_d5,0.8387,1.0,46
18,within_long_d6,0.8099,1.0,44
18,within_long_d7,0.786,1.0,42
18,within_long_d8,0.7701,1.0,40
18,within_long_d9,0.7579,1.0,38
18,within_long_d10,0.7482,1.0,36
18,within_long_d11,0.7415,1.0,34
18,within_long_d12,0.7382,1.0,32
18,within_long_d13,0.736,1.0,30
18,within_long_d14,0.7327,1.0,28
18,within_long_d15,0.7225,1.0,26
18,within_long_d16,0.707,1.0,24
18,within_long_d17,0.6941,1.0,22
18,within_long_d18,0.6852,1.0,20
18,within_long_d19,0.6788,1.0,18
18,within_long_d20,0.6725,1.0,16
18,within_long_d21,0.6594,1.0,14
18,within_long_d22,0.6371,1.0,12
18,within_long_d23,0.6128,1.0,10
