task 3 -> n=20 p=0.08 L=3 seed=2000  (mixed, bridged held out)
== n20_mixed_roberta_linear_lam0_L3_seed2000 ==
 device=cuda arch=roberta readout=linear lambda=0.0 params=9,479,188
 step  560000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  565000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  570000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=0.9996 2ch=1.000 2cl=1.000 48s
 step  575000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  580000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  585000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  590000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step  595000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  600000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step  605000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=0.9996 2ch=1.000 2cl=1.000 48s
 step  610000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  615000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  620000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  625000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  630000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  635000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 47s
 step  640000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=0.9996 2ch=1.000 2cl=1.000 48s
 step  645000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 47s
 step  650000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  655000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  660000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step  665000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  670000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  675000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  680000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  685000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  690000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  695000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  700000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step  705000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step  710000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=0.9996 2ch=1.000 2cl=1.000 48s
 step  715000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  720000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  725000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  730000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  735000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  740000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 47s
 step  745000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  750000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  755000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  760000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  765000 loss=0.00001 bce=0.00001 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  770000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  775000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  780000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  785000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  790000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  795000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=0.9996 2ch=1.000 2cl=1.000 47s
 step  800000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  805000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  810000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  815000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  820000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  825000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  830000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  835000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  840000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  845000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  850000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  855000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  860000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  865000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  870000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  875000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  880000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  885000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  890000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  895000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  900000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  905000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  910000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  915000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  920000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  925000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  930000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  935000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  940000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  945000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  950000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  955000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  960000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  965000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  970000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  975000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  980000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  985000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  990000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  995000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step 1000000 loss=0.00000 bce=0.00000 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
done. best in-dist exact=1.0000  -> runs/report5/depth_sweep/n20_mixed_roberta_linear_lam0_L3_seed2000
auto-eval bridged: runs/report5/depth_sweep/n20_mixed_roberta_linear_lam0_L3_seed2000/last.pt
checkpoint=runs/report5/depth_sweep/n20_mixed_roberta_linear_lam0_L3_seed2000/last.pt
  arch=roberta readout=linear n=20 L=3 device=cuda
