=== Job info ===
Node:  gnode11
Array task: 0  -> seed=1000
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Paper reproduction (standard Transformer): ER(n=20, p=0.08), filter=unrestricted, seed=1000
  arch=roberta, d_model=512, single-head, normalized-ReLU, 2 layers, online, bf16
  Output: runs/repro_paper_n20_roberta/n20_p008_unrestricted_seed1000
========================================================================

Generating 10,000 ER test graphs (unfiltered) with 16 workers …
  done in 6.7s
Generating 10,000 two_chains test graphs …
  done in 0.4s
Generating 10,000 two_cliques test graphs …
  done in 0.5s
  device: cuda
  arch: roberta
  parameters: 6,326,804
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step  415000 | lr=6.33e-05 | loss=0.000583 | ER=0.9994 | 2chain=0.0007 | 2clique=0.0000 | 29.8s/5000
  step  420000 | lr=6.25e-05 | loss=0.000584 | ER=0.9976 | 2chain=0.0022 | 2clique=0.0002 | 29.8s/5000
  step  425000 | lr=6.18e-05 | loss=0.000573 | ER=0.9997 | 2chain=0.0000 | 2clique=0.0065 | 29.9s/5000
  step  430000 | lr=6.10e-05 | loss=0.000564 | ER=0.9985 | 2chain=0.0005 | 2clique=0.0037 | 29.8s/5000
  step  435000 | lr=6.02e-05 | loss=0.000560 | ER=0.9985 | 2chain=0.0007 | 2clique=0.1180 | 29.8s/5000
  step  440000 | lr=5.95e-05 | loss=0.000549 | ER=0.9995 | 2chain=0.0000 | 2clique=0.0134 | 29.8s/5000
  step  445000 | lr=5.87e-05 | loss=0.000542 | ER=0.9968 | 2chain=0.0004 | 2clique=0.0000 | 29.8s/5000
  step  450000 | lr=5.79e-05 | loss=0.000535 | ER=0.9979 | 2chain=0.0013 | 2clique=0.0120 | 29.9s/5000
  step  455000 | lr=5.71e-05 | loss=0.000529 | ER=0.9972 | 2chain=0.0122 | 2clique=0.0000 | 29.9s/5000
  step  460000 | lr=5.64e-05 | loss=0.000524 | ER=0.9963 | 2chain=0.0043 | 2clique=0.0011 | 29.8s/5000
  step  465000 | lr=5.56e-05 | loss=0.000514 | ER=0.9992 | 2chain=0.0044 | 2clique=0.0013 | 29.9s/5000
  step  470000 | lr=5.48e-05 | loss=0.000514 | ER=0.9991 | 2chain=0.0039 | 2clique=0.0003 | 29.9s/5000
  step  475000 | lr=5.40e-05 | loss=0.000502 | ER=0.9993 | 2chain=0.0004 | 2clique=0.0063 | 29.9s/5000
  step  480000 | lr=5.32e-05 | loss=0.000501 | ER=0.9991 | 2chain=0.0003 | 2clique=0.0622 | 29.8s/5000
  step  485000 | lr=5.24e-05 | loss=0.000494 | ER=0.9987 | 2chain=0.0091 | 2clique=0.0182 | 29.8s/5000
  step  490000 | lr=5.17e-05 | loss=0.000490 | ER=0.9993 | 2chain=0.0004 | 2clique=0.0000 | 29.9s/5000
  step  495000 | lr=5.09e-05 | loss=0.000486 | ER=0.9989 | 2chain=0.0271 | 2clique=0.0799 | 29.8s/5000
  step  500000 | lr=5.01e-05 | loss=0.000476 | ER=0.9984 | 2chain=0.0066 | 2clique=0.0965 | 29.9s/5000
  step  505000 | lr=4.93e-05 | loss=0.000472 | ER=0.9990 | 2chain=0.0039 | 2clique=0.6042 | 29.8s/5000
  step  510000 | lr=4.85e-05 | loss=0.000468 | ER=0.9988 | 2chain=0.0033 | 2clique=0.2247 | 29.9s/5000
  step  515000 | lr=4.77e-05 | loss=0.000462 | ER=0.9997 | 2chain=0.0019 | 2clique=0.8184 | 29.8s/5000
  step  520000 | lr=4.69e-05 | loss=0.000458 | ER=0.9982 | 2chain=0.0116 | 2clique=0.3533 | 29.8s/5000
  step  525000 | lr=4.62e-05 | loss=0.000456 | ER=0.9987 | 2chain=0.0236 | 2clique=0.9909 | 29.8s/5000
  step  530000 | lr=4.54e-05 | loss=0.000447 | ER=0.9991 | 2chain=0.0161 | 2clique=0.9403 | 29.9s/5000
  step  535000 | lr=4.46e-05 | loss=0.000438 | ER=0.9989 | 2chain=0.0022 | 2clique=0.5184 | 29.8s/5000
  step  540000 | lr=4.38e-05 | loss=0.000437 | ER=0.9980 | 2chain=0.0264 | 2clique=0.5288 | 29.8s/5000
  step  545000 | lr=4.30e-05 | loss=0.000430 | ER=0.9991 | 2chain=0.0114 | 2clique=0.2661 | 29.8s/5000
