=== Job info ===
Node:  gnode12
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Big ER curriculum: ER(n=40, p=0.05), 4 phases (D≤7→9→10→11)
  d_model=512, normalized-ReLU, online data, bf16
  Output: runs/curriculum_er_n40_big_494470/n40_p005_curriculum_big
========================================================================

Generating 10,000 test graphs (D≤11) with 32 workers …
  done in 5.3s
  device: cuda
  parameters: 6,347,304
  Starting curriculum training: total budget 1,000,000 steps
  Initial phase: phase1_d7 (D ≤ 7)
  step  695000 | phase 4 (phase4_d11) | lr=2.13e-05 | loss=0.000008 | exact=0.9992 | pair=1.0000 | 75.2s/5000
  step  700000 | phase 4 (phase4_d11) | lr=2.06e-05 | loss=0.000008 | exact=0.9996 | pair=1.0000 | 75.2s/5000
  step  705000 | phase 4 (phase4_d11) | lr=2.00e-05 | loss=0.000008 | exact=0.9993 | pair=1.0000 | 75.0s/5000
  step  710000 | phase 4 (phase4_d11) | lr=1.94e-05 | loss=0.000007 | exact=0.9995 | pair=1.0000 | 75.1s/5000
  step  715000 | phase 4 (phase4_d11) | lr=1.88e-05 | loss=0.000007 | exact=0.9996 | pair=1.0000 | 75.3s/5000
  step  720000 | phase 4 (phase4_d11) | lr=1.82e-05 | loss=0.000007 | exact=0.9996 | pair=1.0000 | 75.2s/5000
  step  725000 | phase 4 (phase4_d11) | lr=1.76e-05 | loss=0.000007 | exact=0.9998 | pair=1.0000 | 75.1s/5000
  step  730000 | phase 4 (phase4_d11) | lr=1.70e-05 | loss=0.000007 | exact=0.9996 | pair=1.0000 | 75.4s/5000
  step  735000 | phase 4 (phase4_d11) | lr=1.64e-05 | loss=0.000007 | exact=0.9994 | pair=1.0000 | 75.1s/5000
  step  740000 | phase 4 (phase4_d11) | lr=1.58e-05 | loss=0.000006 | exact=0.9998 | pair=1.0000 | 75.1s/5000
  step  745000 | phase 4 (phase4_d11) | lr=1.52e-05 | loss=0.000007 | exact=0.9996 | pair=1.0000 | 75.3s/5000
  step  750000 | phase 4 (phase4_d11) | lr=1.47e-05 | loss=0.000007 | exact=0.9996 | pair=1.0000 | 75.1s/5000
  step  755000 | phase 4 (phase4_d11) | lr=1.41e-05 | loss=0.000006 | exact=0.9998 | pair=1.0000 | 75.6s/5000
  step  760000 | phase 4 (phase4_d11) | lr=1.36e-05 | loss=0.000006 | exact=0.9995 | pair=1.0000 | 75.3s/5000
  step  765000 | phase 4 (phase4_d11) | lr=1.30e-05 | loss=0.000006 | exact=0.9997 | pair=1.0000 | 75.3s/5000
  step  770000 | phase 4 (phase4_d11) | lr=1.25e-05 | loss=0.000006 | exact=0.9996 | pair=1.0000 | 75.6s/5000
  step  775000 | phase 4 (phase4_d11) | lr=1.20e-05 | loss=0.000006 | exact=0.9998 | pair=1.0000 | 75.6s/5000
  step  780000 | phase 4 (phase4_d11) | lr=1.15e-05 | loss=0.000006 | exact=0.9998 | pair=1.0000 | 75.5s/5000
  step  785000 | phase 4 (phase4_d11) | lr=1.10e-05 | loss=0.000006 | exact=0.9998 | pair=1.0000 | 75.3s/5000
  step  790000 | phase 4 (phase4_d11) | lr=1.05e-05 | loss=0.000005 | exact=0.9997 | pair=1.0000 | 75.7s/5000
  step  795000 | phase 4 (phase4_d11) | lr=1.00e-05 | loss=0.000005 | exact=0.9995 | pair=1.0000 | 75.5s/5000
  step  800000 | phase 4 (phase4_d11) | lr=9.57e-06 | loss=0.000005 | exact=0.9995 | pair=1.0000 | 75.1s/5000
  step  805000 | phase 4 (phase4_d11) | lr=9.11e-06 | loss=0.000005 | exact=0.9994 | pair=1.0000 | 75.2s/5000
  step  810000 | phase 4 (phase4_d11) | lr=8.66e-06 | loss=0.000005 | exact=0.9997 | pair=1.0000 | 75.3s/5000
  step  815000 | phase 4 (phase4_d11) | lr=8.23e-06 | loss=0.000005 | exact=0.9996 | pair=1.0000 | 75.4s/5000
  step  820000 | phase 4 (phase4_d11) | lr=7.80e-06 | loss=0.000005 | exact=0.9998 | pair=1.0000 | 74.9s/5000
  step  825000 | phase 4 (phase4_d11) | lr=7.38e-06 | loss=0.000005 | exact=0.9998 | pair=1.0000 | 75.1s/5000
  step  830000 | phase 4 (phase4_d11) | lr=6.98e-06 | loss=0.000005 | exact=0.9997 | pair=1.0000 | 75.3s/5000
  step  835000 | phase 4 (phase4_d11) | lr=6.58e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 74.9s/5000
  step  840000 | phase 4 (phase4_d11) | lr=6.20e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.0s/5000
  step  845000 | phase 4 (phase4_d11) | lr=5.82e-06 | loss=0.000005 | exact=0.9998 | pair=1.0000 | 75.0s/5000
  step  850000 | phase 4 (phase4_d11) | lr=5.46e-06 | loss=0.000004 | exact=0.9996 | pair=1.0000 | 75.2s/5000
  step  855000 | phase 4 (phase4_d11) | lr=5.11e-06 | loss=0.000004 | exact=0.9997 | pair=1.0000 | 75.0s/5000
  step  860000 | phase 4 (phase4_d11) | lr=4.77e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.5s/5000
  step  865000 | phase 4 (phase4_d11) | lr=4.44e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.6s/5000
  step  870000 | phase 4 (phase4_d11) | lr=4.12e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.8s/5000
  step  875000 | phase 4 (phase4_d11) | lr=3.81e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.3s/5000
  step  880000 | phase 4 (phase4_d11) | lr=3.52e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.1s/5000
  step  885000 | phase 4 (phase4_d11) | lr=3.23e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.3s/5000
  step  890000 | phase 4 (phase4_d11) | lr=2.96e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.2s/5000
  step  895000 | phase 4 (phase4_d11) | lr=2.70e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.3s/5000
  step  900000 | phase 4 (phase4_d11) | lr=2.45e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.1s/5000
  step  905000 | phase 4 (phase4_d11) | lr=2.21e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.2s/5000
  step  910000 | phase 4 (phase4_d11) | lr=1.99e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.3s/5000
  step  915000 | phase 4 (phase4_d11) | lr=1.78e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.3s/5000
  step  920000 | phase 4 (phase4_d11) | lr=1.57e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.4s/5000
  step  925000 | phase 4 (phase4_d11) | lr=1.38e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.3s/5000
  step  930000 | phase 4 (phase4_d11) | lr=1.21e-06 | loss=0.000004 | exact=0.9998 | pair=1.0000 | 75.7s/5000
