=== Job info ===
Node:  gnode13
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Big ER training: ER(n=40, p=0.05), filter=unfiltered
  d_model=512, normalized-ReLU, online data, bf16
  Output: runs/retrain_er_n40_big_494127/n40_p005_unfiltered_big
========================================================================

Generating 10,000 test graphs (unfiltered) with 16 workers …
  done in 2.1s
  device: cuda
  parameters: 6,347,304
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step  610000 | lr=3.31e-05 | loss=0.000023 | exact=0.9988 | pair=1.0000 | 52.1s for 5000 steps
  step  615000 | lr=3.24e-05 | loss=0.000024 | exact=0.9990 | pair=1.0000 | 52.2s for 5000 steps
  step  620000 | lr=3.16e-05 | loss=0.000028 | exact=0.9989 | pair=1.0000 | 51.8s for 5000 steps
  step  625000 | lr=3.09e-05 | loss=0.000022 | exact=0.9989 | pair=1.0000 | 51.7s for 5000 steps
  step  630000 | lr=3.02e-05 | loss=0.000022 | exact=0.9990 | pair=1.0000 | 52.4s for 5000 steps
  step  635000 | lr=2.95e-05 | loss=0.000019 | exact=0.9991 | pair=1.0000 | 51.7s for 5000 steps
  step  640000 | lr=2.88e-05 | loss=0.000020 | exact=0.9989 | pair=1.0000 | 51.8s for 5000 steps
  step  645000 | lr=2.81e-05 | loss=0.000016 | exact=0.9988 | pair=1.0000 | 52.1s for 5000 steps
  step  650000 | lr=2.73e-05 | loss=0.000019 | exact=0.9986 | pair=1.0000 | 52.0s for 5000 steps
  step  655000 | lr=2.67e-05 | loss=0.000015 | exact=0.9992 | pair=1.0000 | 51.9s for 5000 steps
  step  660000 | lr=2.60e-05 | loss=0.000015 | exact=0.9990 | pair=1.0000 | 51.9s for 5000 steps
  step  665000 | lr=2.53e-05 | loss=0.000015 | exact=0.9993 | pair=1.0000 | 52.0s for 5000 steps
  step  670000 | lr=2.46e-05 | loss=0.000016 | exact=0.9991 | pair=1.0000 | 51.7s for 5000 steps
  step  675000 | lr=2.39e-05 | loss=0.000017 | exact=0.9987 | pair=1.0000 | 51.7s for 5000 steps
  step  680000 | lr=2.33e-05 | loss=0.000014 | exact=0.9984 | pair=1.0000 | 51.7s for 5000 steps
  step  685000 | lr=2.26e-05 | loss=0.000014 | exact=0.9992 | pair=1.0000 | 51.8s for 5000 steps
  step  690000 | lr=2.19e-05 | loss=0.000013 | exact=0.9991 | pair=1.0000 | 51.8s for 5000 steps
  step  695000 | lr=2.13e-05 | loss=0.000013 | exact=0.9991 | pair=1.0000 | 51.7s for 5000 steps
  step  700000 | lr=2.06e-05 | loss=0.000013 | exact=0.9987 | pair=1.0000 | 51.8s for 5000 steps
  step  705000 | lr=2.00e-05 | loss=0.000012 | exact=0.9996 | pair=1.0000 | 52.0s for 5000 steps
  step  710000 | lr=1.94e-05 | loss=0.000013 | exact=0.9994 | pair=1.0000 | 51.5s for 5000 steps
  step  715000 | lr=1.88e-05 | loss=0.000011 | exact=0.9993 | pair=1.0000 | 51.7s for 5000 steps
  step  720000 | lr=1.82e-05 | loss=0.000011 | exact=0.9994 | pair=1.0000 | 51.5s for 5000 steps
  step  725000 | lr=1.76e-05 | loss=0.000010 | exact=0.9994 | pair=1.0000 | 51.9s for 5000 steps
  step  730000 | lr=1.70e-05 | loss=0.000010 | exact=0.9994 | pair=1.0000 | 52.2s for 5000 steps
  step  735000 | lr=1.64e-05 | loss=0.000010 | exact=0.9995 | pair=1.0000 | 51.9s for 5000 steps
  step  740000 | lr=1.58e-05 | loss=0.000010 | exact=0.9991 | pair=1.0000 | 52.2s for 5000 steps
  step  745000 | lr=1.52e-05 | loss=0.000010 | exact=0.9995 | pair=1.0000 | 52.3s for 5000 steps
  step  750000 | lr=1.47e-05 | loss=0.000009 | exact=0.9994 | pair=1.0000 | 52.0s for 5000 steps
  step  755000 | lr=1.41e-05 | loss=0.000009 | exact=0.9994 | pair=1.0000 | 52.1s for 5000 steps
  step  760000 | lr=1.36e-05 | loss=0.000009 | exact=0.9993 | pair=1.0000 | 51.9s for 5000 steps
  step  765000 | lr=1.30e-05 | loss=0.000009 | exact=0.9993 | pair=1.0000 | 52.1s for 5000 steps
  step  770000 | lr=1.25e-05 | loss=0.000008 | exact=0.9994 | pair=1.0000 | 52.2s for 5000 steps
  step  775000 | lr=1.20e-05 | loss=0.000009 | exact=0.9996 | pair=1.0000 | 52.1s for 5000 steps
  step  780000 | lr=1.15e-05 | loss=0.000008 | exact=0.9994 | pair=1.0000 | 51.7s for 5000 steps
  step  785000 | lr=1.10e-05 | loss=0.000009 | exact=0.9993 | pair=1.0000 | 52.0s for 5000 steps
  step  790000 | lr=1.05e-05 | loss=0.000008 | exact=0.9997 | pair=1.0000 | 51.9s for 5000 steps
  step  795000 | lr=1.00e-05 | loss=0.000008 | exact=0.9994 | pair=1.0000 | 52.0s for 5000 steps
  step  800000 | lr=9.57e-06 | loss=0.000008 | exact=0.9995 | pair=1.0000 | 52.3s for 5000 steps
  step  805000 | lr=9.11e-06 | loss=0.000008 | exact=0.9995 | pair=1.0000 | 51.9s for 5000 steps
  step  810000 | lr=8.66e-06 | loss=0.000008 | exact=0.9994 | pair=1.0000 | 52.3s for 5000 steps
  step  815000 | lr=8.23e-06 | loss=0.000008 | exact=0.9995 | pair=1.0000 | 52.0s for 5000 steps
  step  820000 | lr=7.80e-06 | loss=0.000007 | exact=0.9994 | pair=1.0000 | 51.9s for 5000 steps
  step  825000 | lr=7.38e-06 | loss=0.000007 | exact=0.9995 | pair=1.0000 | 51.8s for 5000 steps
  step  830000 | lr=6.98e-06 | loss=0.000007 | exact=0.9995 | pair=1.0000 | 52.1s for 5000 steps
  step  835000 | lr=6.58e-06 | loss=0.000007 | exact=0.9996 | pair=1.0000 | 51.7s for 5000 steps
  step  840000 | lr=6.20e-06 | loss=0.000007 | exact=0.9996 | pair=1.0000 | 51.6s for 5000 steps
  step  845000 | lr=5.82e-06 | loss=0.000007 | exact=0.9994 | pair=1.0000 | 51.9s for 5000 steps
  step  850000 | lr=5.46e-06 | loss=0.000007 | exact=0.9997 | pair=1.0000 | 52.0s for 5000 steps
  step  855000 | lr=5.11e-06 | loss=0.000007 | exact=0.9995 | pair=1.0000 | 52.1s for 5000 steps
  step  860000 | lr=4.77e-06 | loss=0.000006 | exact=0.9995 | pair=1.0000 | 52.0s for 5000 steps
