=== Job info ===
Node:  gnode10
Array task: 2  -> seed=3000
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Paper reproduction (standard Transformer): ER(n=20, p=0.08), filter=diam9, seed=3000
  arch=roberta, d_model=512, single-head, normalized-ReLU, 2 layers, online, bf16
  Output: runs/repro_paper_n20_roberta/n20_p008_diam9_seed3000
========================================================================

Generating 10,000 ER test graphs (D≤9) with 16 workers …
  done in 6.5s
Generating 10,000 two_chains test graphs …
  done in 0.4s
Generating 10,000 two_cliques test graphs …
  done in 0.5s
  device: cuda
  arch: roberta
  parameters: 6,326,804
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step  450000 | lr=5.79e-05 | loss=0.000511 | ER=0.9970 | 2chain=0.0002 | 2clique=0.0000 | 92.9s/5000
  step  455000 | lr=5.71e-05 | loss=0.000502 | ER=0.9968 | 2chain=0.0000 | 2clique=0.0000 | 92.9s/5000
  step  460000 | lr=5.64e-05 | loss=0.000495 | ER=0.9973 | 2chain=0.0000 | 2clique=0.0000 | 92.5s/5000
  step  465000 | lr=5.56e-05 | loss=0.000493 | ER=0.9974 | 2chain=0.0000 | 2clique=0.0000 | 93.4s/5000
  step  470000 | lr=5.48e-05 | loss=0.000487 | ER=0.9965 | 2chain=0.0000 | 2clique=0.0000 | 92.8s/5000
  step  475000 | lr=5.40e-05 | loss=0.000479 | ER=0.9960 | 2chain=0.0000 | 2clique=0.0000 | 93.2s/5000
  step  480000 | lr=5.32e-05 | loss=0.000474 | ER=0.9980 | 2chain=0.0000 | 2clique=0.0000 | 92.9s/5000
  step  485000 | lr=5.24e-05 | loss=0.000469 | ER=0.9961 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  490000 | lr=5.17e-05 | loss=0.000462 | ER=0.9958 | 2chain=0.0000 | 2clique=0.0000 | 92.9s/5000
  step  495000 | lr=5.09e-05 | loss=0.000457 | ER=0.9975 | 2chain=0.0000 | 2clique=0.0000 | 93.1s/5000
  step  500000 | lr=5.01e-05 | loss=0.000450 | ER=0.9975 | 2chain=0.0001 | 2clique=0.0000 | 93.4s/5000
  step  505000 | lr=4.93e-05 | loss=0.000446 | ER=0.9974 | 2chain=0.0000 | 2clique=0.0000 | 94.4s/5000
  step  510000 | lr=4.85e-05 | loss=0.000440 | ER=0.9974 | 2chain=0.0000 | 2clique=0.0000 | 94.1s/5000
  step  515000 | lr=4.77e-05 | loss=0.000436 | ER=0.9978 | 2chain=0.0000 | 2clique=0.0000 | 93.7s/5000
  step  520000 | lr=4.69e-05 | loss=0.000429 | ER=0.9964 | 2chain=0.0000 | 2clique=0.0000 | 93.1s/5000
  step  525000 | lr=4.62e-05 | loss=0.000427 | ER=0.9963 | 2chain=0.0000 | 2clique=0.0000 | 93.4s/5000
  step  530000 | lr=4.54e-05 | loss=0.000417 | ER=0.9969 | 2chain=0.0000 | 2clique=0.0000 | 93.3s/5000
  step  535000 | lr=4.46e-05 | loss=0.000412 | ER=0.9975 | 2chain=0.0000 | 2clique=0.0000 | 93.7s/5000
  step  540000 | lr=4.38e-05 | loss=0.000405 | ER=0.9971 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  545000 | lr=4.30e-05 | loss=0.000407 | ER=0.9976 | 2chain=0.0000 | 2clique=0.0000 | 92.6s/5000
  step  550000 | lr=4.22e-05 | loss=0.000398 | ER=0.9978 | 2chain=0.0000 | 2clique=0.0000 | 92.8s/5000
  step  555000 | lr=4.15e-05 | loss=0.000392 | ER=0.9982 | 2chain=0.0000 | 2clique=0.0000 | 92.7s/5000
