split_a,pair_type,mean_hTw,frac_positive,n_pairs
10,within_long_d1,11.0234,1.0,58
10,within_long_d2,11.7675,1.0,56
10,within_long_d3,11.6966,1.0,54
10,within_long_d4,8.0339,1.0,52
10,within_long_d5,7.1298,1.0,50
10,within_long_d6,6.1236,1.0,48
10,within_long_d7,4.9882,1.0,46
10,within_long_d8,3.4915,1.0,44
10,within_long_d9,0.9449,0.779,42
10,within_long_d10,0.496,0.6065,40
10,within_long_d11,0.4916,0.6017,38
10,within_long_d12,0.4873,0.5961,36
10,within_long_d13,0.4934,0.6,34
10,within_long_d14,0.5121,0.6153,32
10,within_long_d15,0.5432,0.6467,30
10,within_long_d16,0.5779,0.6764,28
10,within_long_d17,0.609,0.696,26
10,within_long_d18,0.6282,0.7144,24
10,within_long_d19,0.631,0.7141,22
10,within_long_d20,0.6305,0.711,20
10,within_long_d21,0.6458,0.7292,18
10,within_long_d22,0.6874,0.7612,16
10,within_long_d23,0.7287,0.8061,14
10,within_long_d24,0.7728,0.8346,12
10,within_long_d25,0.8271,0.878,10
10,within_long_d26,0.9007,0.9244,8
10,within_long_d27,0.9471,0.9458,6
10,within_long_d28,1.0499,0.965,4
10,within_long_d29,1.225,0.9975,2
11,within_long,4.3083,0.8314,162400
11,within_short,10.0206,0.9978,22000
11,cut,0.5208,0.6268,63800
11,cut,-1.0969,0.242,63800
11,within_long_d1,10.9706,1.0,56
11,within_long_d2,11.6973,1.0,54
11,within_long_d3,11.6289,1.0,52
11,within_long_d4,8.0367,1.0,50
11,within_long_d5,7.1304,1.0,48
11,within_long_d6,6.1419,1.0,46
11,within_long_d7,4.9913,1.0,44
11,within_long_d8,3.4719,0.9999,42
11,within_long_d9,0.9331,0.7765,40
11,within_long_d10,0.4826,0.5855,38
11,within_long_d11,0.479,0.5867,36
11,within_long_d12,0.4763,0.576,34
11,within_long_d13,0.4874,0.5903,32
11,within_long_d14,0.5103,0.6127,30
11,within_long_d15,0.539,0.6407,28
11,within_long_d16,0.5683,0.6633,26
